City_id,City,Cloudiness,Country,Date,Humidity,latitude,longitude,Max temp,Wind Speed
87,Hilo,90,US,1584489848,83,19.73,-155.09,297.15,5.1
88,Ribeira Grande,12,PT,1584489883,88,38.52,-28.7,287.93,4.5
89,Husavik,90,IS,1584490106,95,66.04,-17.34,273.15,12.3
90,Mahuva,0,IN,1584490107,50,21.09,71.76,297.45,3.67
91,Souillac,40,MU,1584490088,88,-20.52,57.52,298.15,2.39
92,Hobyo,22,SO,1584490107,79,5.35,48.53,298.41,5.07
93,Klaksvík,43,FO,1584489965,67,62.23,-6.59,274.15,11.3
94,Cabedelo,48,BR,1584490108,83,-6.98,-34.83,300.15,3.1
95,Woodward,90,US,1584490108,100,36.43,-99.39,283.15,4.1
96,Bela,0,IN,1584490108,40,25.93,81.98,291.69,2.37
97,Kumul,17,CN,1584490108,23,42.8,93.45,277.71,1.17
98,Monrovia,75,LR,1584489829,94,6.3,-10.8,300.15,3.6
99,Faanui,100,PF,1584490022,70,-16.48,-151.75,301.72,3.07
100,Vaini,75,TO,1584490109,94,-21.2,-175.2,298.15,1.5
101,Kavieng,100,PG,1584490109,77,-2.57,150.8,301.36,5.95
102,Puerto Escondido,40,MX,1584489843,74,15.85,-97.07,303.15,4.1
103,Kavaratti,29,IN,1584490034,68,10.57,72.64,301.27,2.53
104,Constantine,75,DZ,1584489906,76,36.37,6.61,285.15,2.6
105,Culebra,40,PR,1584490110,74,18.3,-65.3,300.15,4.1
106,Lashio,0,MM,1584490110,59,22.93,97.75,289.11,0.94
107,Kayerkan,75,RU,1584490110,92,69.35,87.76,261.15,12.0
108,College,90,US,1584490111,50,64.86,-147.8,276.15,1.5
109,Nikolskoye,75,RU,1584489994,80,59.7,30.79,277.15,5.0
110,Narsaq,14,GL,1584490111,46,60.92,-46.05,261.15,3.1
111,Lata,0,PT,1584490112,87,40.16,-8.33,288.71,0.5
112,Tiznit Province,100,MA,1584490112,86,29.58,-9.5,281.54,5.78
113,Esmeraldas,75,BR,1584490035,83,-19.76,-44.31,294.15,2.6
114,Lompoc,75,US,1584490112,50,34.64,-120.46,287.15,2.1
115,Porto-Novo,40,BJ,1584489844,88,6.5,2.6,301.15,5.1
116,George Town,20,MY,1584489834,83,5.41,100.34,299.15,2.6
117,Batagay-Alyta,100,RU,1584490113,96,67.8,130.41,249.73,0.79
118,Avarua,100,CK,1584490114,88,-21.21,-159.78,300.15,7.7
119,Baoshan,87,CN,1584490114,81,46.56,131.42,272.6,3.43
120,Bethel,75,US,1584489829,66,41.37,-73.41,284.26,4.1
121,Cabo San Lucas,75,MX,1584490083,64,22.89,-109.91,297.04,3.6
122,Talnakh,75,RU,1584490115,92,69.49,88.4,261.15,12.0
123,Lebu,0,CL,1584490115,83,-37.62,-73.65,287.21,3.66
124,Conde,30,BR,1584490115,83,-7.26,-34.91,300.15,3.1
125,Hithadhoo,65,MV,1584490115,76,-0.6,73.08,302.3,5.69
126,Albany,75,US,1584489989,56,42.6,-73.97,280.93,3.6
